spec,url,total_violations,errors_critical,errors_serious,errors_moderate,errors_minor,warnings_critical,warnings_serious,warnings_moderate,warnings_minor,csv,html
"","https://campuschampions.ddev.site/",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_.csv","spec__https___campuschampions_ddev_site_.html"
"","https://campuschampions.ddev.site/campus-champions-ai-mentorship-program",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_campus_champions_ai_mentorship_program.csv","spec__https___campuschampions_ddev_site_campus_champions_ai_mentorship_program.html"
"","https://campuschampions.ddev.site/news",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_news.csv","spec__https___campuschampions_ddev_site_news.html"
"","https://campuschampions.ddev.site/current-champions",1,0,1,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_current_champions.csv","spec__https___campuschampions_ddev_site_current_champions.html"
"","https://campuschampions.ddev.site/current-campus-champions",1,0,0,0,0,0,0,1,0,"spec__https___campuschampions_ddev_site_current_campus_champions.csv","spec__https___campuschampions_ddev_site_current_campus_champions.html"
"","https://campuschampions.ddev.site/form/join-campus-champions",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_form_join_campus_champions.csv","spec__https___campuschampions_ddev_site_form_join_campus_champions.html"
"","https://campuschampions.ddev.site/about",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_about.csv","spec__https___campuschampions_ddev_site_about.html"
"","https://campuschampions.ddev.site/about-us/governance",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_about_us_governance.csv","spec__https___campuschampions_ddev_site_about_us_governance.html"
"","https://campuschampions.ddev.site/about-us/affinity-groups-faq",1,0,0,0,0,0,0,1,0,"spec__https___campuschampions_ddev_site_about_us_affinity_groups_faq.csv","spec__https___campuschampions_ddev_site_about_us_affinity_groups_faq.html"
"","https://campuschampions.ddev.site/code-of-conduct",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_code_of_conduct.csv","spec__https___campuschampions_ddev_site_code_of_conduct.html"
"","https://campuschampions.ddev.site/connectci-code-of-conduct",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_connectci_code_of_conduct.csv","spec__https___campuschampions_ddev_site_connectci_code_of_conduct.html"
"","https://campuschampions.ddev.site/people?facets_query=&f%5B0%5D=program%3A572",1,0,1,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_people_facets_query__f_5B0_5D_program_3A572.csv","spec__https___campuschampions_ddev_site_people_facets_query__f_5B0_5D_program_3A572.html"
"","https://campuschampions.ddev.site/announcements",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_announcements.csv","spec__https___campuschampions_ddev_site_announcements.html"
"","https://campuschampions.ddev.site/announcements/announcing-campus-champions-cc-ai-mentorship-program",1,0,0,0,0,0,0,1,0,"spec__https___campuschampions_ddev_site_announcements_announcing_campus_champions_cc_ai_mentorship_program.csv","spec__https___campuschampions_ddev_site_announcements_announcing_campus_champions_cc_ai_mentorship_program.html"
"","https://campuschampions.ddev.site/affinity-groups",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_affinity_groups.csv","spec__https___campuschampions_ddev_site_affinity_groups.html"
"","https://campuschampions.ddev.site/become-member-cssn-community",1,0,0,0,0,0,0,1,0,"spec__https___campuschampions_ddev_site_become_member_cssn_community.csv","spec__https___campuschampions_ddev_site_become_member_cssn_community.html"
"","https://campuschampions.ddev.site/nsf-access-resources",1,0,0,0,0,0,0,1,0,"spec__https___campuschampions_ddev_site_nsf_access_resources.csv","spec__https___campuschampions_ddev_site_nsf_access_resources.html"
"","https://campuschampions.ddev.site/knowledge-base/resources",2,0,1,0,0,0,0,1,0,"spec__https___campuschampions_ddev_site_knowledge_base_resources.csv","spec__https___campuschampions_ddev_site_knowledge_base_resources.html"
"","https://campuschampions.ddev.site/tags",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_tags.csv","spec__https___campuschampions_ddev_site_tags.html"
"","https://campuschampions.ddev.site/form/request-tag",1,0,0,0,0,0,0,1,0,"spec__https___campuschampions_ddev_site_form_request_tag.csv","spec__https___campuschampions_ddev_site_form_request_tag.html"
"","https://campuschampions.ddev.site/tags/nlp",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_tags_nlp.csv","spec__https___campuschampions_ddev_site_tags_nlp.html"
"","https://campuschampions.ddev.site/mentorships/cc-ai-ci-leadership-facilitating-grad-student-goals-utoledo",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_mentorships_cc_ai_ci_leadership_facilitating_grad_student_goals_utoledo.csv","spec__https___campuschampions_ddev_site_mentorships_cc_ai_ci_leadership_facilitating_grad_student_goals_utoledo.html"
"","https://campuschampions.ddev.site/events",1,0,0,0,0,0,0,1,0,"spec__https___campuschampions_ddev_site_events.csv","spec__https___campuschampions_ddev_site_events.html"
"","https://campuschampions.ddev.site/user/201/edit",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_user_201_edit.csv","spec__https___campuschampions_ddev_site_user_201_edit.html"
"","https://campuschampions.ddev.site/user/login",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_user_login.csv","spec__https___campuschampions_ddev_site_user_login.html"
"","https://campuschampions.ddev.site/user/password",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_user_password.csv","spec__https___campuschampions_ddev_site_user_password.html"
"","https://campuschampions.ddev.site/connectci-privacy-policy",0,0,0,0,0,0,0,0,0,"spec__https___campuschampions_ddev_site_connectci_privacy_policy.csv","spec__https___campuschampions_ddev_site_connectci_privacy_policy.html"
